City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
99,Kathu,TH,2021-06-07 05:32:29,7.9178,98.3332,89.69,65,99
100,Tuktoyaktuk,CA,2021-06-07 05:32:30,69.4541,-133.0374,33.8,80,20
101,Emerald,AU,2021-06-07 05:32:30,-23.5333,148.1667,75.34,33,0
102,Wroclaw,PL,2021-06-07 05:31:54,51.1,17.0333,63.99,78,0
103,Evensk,RU,2021-06-07 05:28:41,61.95,159.2333,50.31,71,59
104,Awjilah,LY,2021-06-07 05:32:30,29.1081,21.2869,77.54,30,0
105,Hithadhoo,MV,2021-06-07 05:32:31,-0.6,73.0833,83.44,72,20
106,Nikolskoye,RU,2021-06-07 05:32:31,59.7035,30.7861,67.89,51,88
107,Lazaro Cardenas,MX,2021-06-07 05:28:21,17.9583,-102.2,81.21,79,94
108,Port-Cartier,CA,2021-06-07 05:32:31,50.0334,-66.8654,46.74,76,96
109,Ranfurly,NZ,2021-06-07 05:32:31,-45.1333,170.1,45.64,93,65
110,Severo-Yeniseyskiy,RU,2021-06-07 05:32:32,60.3725,93.0408,53.31,45,80
111,Guanare,VE,2021-06-07 05:32:32,9.0418,-69.7421,75.22,100,98
112,Bitung,ID,2021-06-07 05:32:32,1.4451,125.1824,76.05,76,85
113,Abashiri,JP,2021-06-07 05:32:32,44.0213,144.2697,70.09,64,20
114,Clyde River,CA,2021-06-07 05:32:33,70.4692,-68.5914,35.83,87,90
115,Mahon,ES,2021-06-07 05:32:33,39.8885,4.2658,63.16,94,0
116,Shimoda,JP,2021-06-07 05:32:33,34.6667,138.95,75.56,76,100
117,Ribeira Grande,PT,2021-06-07 05:32:33,38.5167,-28.7,65.01,92,100
118,Mataura,NZ,2021-06-07 05:32:34,-46.1927,168.8643,49.48,92,0
119,New Norfolk,AU,2021-06-07 05:32:34,-42.7826,147.0587,63.91,50,100
120,Barrow,US,2021-06-07 05:32:34,71.2906,-156.7887,30.22,93,90
121,Manaure,CO,2021-06-07 05:32:34,11.7751,-72.4445,79.95,76,100
122,Saskylakh,RU,2021-06-07 05:32:35,71.9167,114.0833,46.74,38,97
123,Mar Del Plata,AR,2021-06-07 05:32:35,-38.0023,-57.5575,51.13,68,0
124,Tautira,PF,2021-06-07 05:32:35,-17.7333,-149.15,80.62,69,5
125,Georgetown,MY,2021-06-07 05:31:30,5.4112,100.3354,88.9,71,40
126,Nome,US,2021-06-07 05:32:35,64.5011,-165.4064,35.67,80,90
127,Mahebourg,MU,2021-06-07 05:31:45,-20.4081,57.7,78.26,73,40
128,Asfi,MA,2021-06-07 05:32:36,32.2994,-9.2372,65.3,89,0
129,Bambous Virieux,MU,2021-06-07 05:32:36,-20.3428,57.7575,78.22,73,40
130,Haines Junction,CA,2021-06-07 05:32:36,60.7522,-137.5108,48.15,87,100
131,Lebu,CL,2021-06-07 05:32:36,-37.6167,-73.65,47.1,81,98
132,Camacha,PT,2021-06-07 05:32:37,33.0833,-16.3333,62.53,72,40
133,Igarka,RU,2021-06-07 05:32:37,67.4667,86.5833,38.88,67,100
134,Umm Bab,QA,2021-06-07 05:32:37,25.2142,50.8072,98.28,54,0
135,Eureka,US,2021-06-07 05:29:10,40.8021,-124.1637,53.58,77,100
136,Provideniya,RU,2021-06-07 05:32:37,64.3833,-173.3,39.31,70,90
137,Havre-Saint-Pierre,CA,2021-06-07 05:32:38,50.2334,-63.5986,43.16,87,90
138,Dikson,RU,2021-06-07 05:32:38,73.5069,80.5464,30.47,88,100
139,East London,ZA,2021-06-07 05:29:50,-33.0153,27.9116,63.54,39,0
140,Marsh Harbour,BS,2021-06-07 05:32:38,26.5412,-77.0636,78.28,78,100
141,Neftegorsk,RU,2021-06-07 05:32:38,52.802,51.166,65.68,47,24
142,Saint-Louis,SN,2021-06-07 05:32:39,16.3333,-15.0,77.4,52,5
143,Yar-Sale,RU,2021-06-07 05:32:39,66.8333,70.8333,42.19,52,95
144,Deputatskiy,RU,2021-06-07 05:32:39,69.3,139.9,49.57,46,92
145,Razvilnoye,RU,2021-06-07 05:32:39,46.2387,41.2987,64.42,73,100
146,Tadine,NC,2021-06-07 05:32:40,-21.55,167.8833,70.86,63,100
147,Qinzhou,CN,2021-06-07 05:32:40,21.95,108.6167,93.87,41,19
148,Lasa,IT,2021-06-07 05:32:40,46.6166,10.7002,59.88,86,100
149,Mildura,AU,2021-06-07 05:31:30,-34.2,142.15,64.36,42,26
150,Kemin,KG,2021-06-07 05:32:40,42.7846,75.6892,85.48,25,53
151,Khasan,RU,2021-06-07 05:32:41,42.4308,130.6434,62.89,73,32
152,Necochea,AR,2021-06-07 05:32:41,-38.5473,-58.7368,47.03,61,100
153,Avera,US,2021-06-07 05:32:41,33.194,-82.5271,73.27,96,100
154,Puerto Quijarro,BO,2021-06-07 05:32:41,-17.7833,-57.7667,74.95,55,67
155,Port Alfred,ZA,2021-06-07 05:32:42,-33.5906,26.891,61.95,38,0
156,Mwense,ZM,2021-06-07 05:32:42,-10.3845,28.698,64.0,62,14
157,Chippewa Falls,US,2021-06-07 05:30:03,44.9369,-91.3929,77.18,72,1
158,Atar,MR,2021-06-07 05:30:16,20.5169,-13.0499,86.14,19,7
159,Ust-Kuyga,RU,2021-06-07 05:32:42,70.0167,135.6,59.05,28,100
160,Conceicao Do Araguaia,BR,2021-06-07 05:32:43,-8.2578,-49.2647,75.33,78,0
161,Fortuna,US,2021-06-07 05:32:43,40.5982,-124.1573,53.33,53,100
162,Boralday,KZ,2021-06-07 05:32:43,43.3578,76.8594,84.06,24,40
163,Pokrovka,KG,2021-06-07 05:32:43,42.3414,78.0056,70.25,41,87
164,Malokakhovka,UA,2021-06-07 05:32:44,46.7814,33.4479,66.2,66,50
165,Wajid,SO,2021-06-07 05:32:44,3.8093,43.2471,79.97,61,28
166,Tuatapere,NZ,2021-06-07 05:32:44,-46.1333,167.6833,49.82,90,7
167,Sitka,US,2021-06-07 05:32:44,57.0531,-135.33,51.69,66,90
168,Kutum,SD,2021-06-07 05:32:45,14.2,24.6667,82.26,15,13
169,Clovis,US,2021-06-07 05:28:57,36.8252,-119.7029,78.69,42,20
170,Omboue,GA,2021-06-07 05:32:45,-1.5746,9.2618,75.38,95,91
171,Sorland,NO,2021-06-07 05:32:45,67.667,12.6934,51.87,97,99
172,Cayenne,GF,2021-06-07 05:32:45,4.9333,-52.3333,78.1,89,90
173,Cockburn Town,TC,2021-06-07 05:32:46,21.4612,-71.1419,79.83,77,6
174,Guaraniacu,BR,2021-06-07 05:30:06,-25.1008,-52.8781,55.89,99,88
175,Gijon,ES,2021-06-07 05:32:46,43.5357,-5.6615,60.26,81,45
176,Ixtapa,MX,2021-06-07 05:32:46,20.7,-105.2,80.22,78,23
177,Dromolaxia,CY,2021-06-07 05:32:46,34.8761,33.586,79.84,70,0
178,Qax,AZ,2021-06-07 05:32:47,41.4225,46.9242,59.99,72,56
179,Rincon De La Victoria,ES,2021-06-07 05:32:47,36.7172,-4.2758,70.36,72,5
180,Deer Lake,CA,2021-06-07 05:32:47,49.1667,-57.4316,40.86,93,75
181,Kahului,US,2021-06-07 05:29:56,20.8947,-156.47,77.85,77,40
182,Honiara,SB,2021-06-07 05:32:48,-9.4333,159.95,82.72,78,40
183,Chokurdakh,RU,2021-06-07 05:32:48,70.6333,147.9167,47.8,49,31
184,Santa Marta,CO,2021-06-07 05:28:09,11.2408,-74.199,84.97,72,100
185,Port Said,EG,2021-06-07 05:32:48,31.2565,32.2841,73.38,78,40
186,Abay,KZ,2021-06-07 05:32:48,49.6311,72.8539,71.98,26,47
187,Hailey,US,2021-06-07 05:32:49,43.5196,-114.3153,53.46,51,1
188,Ilulissat,GL,2021-06-07 05:32:49,69.2167,-51.1,35.62,87,0
189,Bilma,NE,2021-06-07 05:32:49,18.6853,12.9164,87.28,18,85
190,Paita,PE,2021-06-07 05:32:49,-5.0892,-81.1144,68.16,81,99
191,Atuona,PF,2021-06-07 05:32:50,-9.8,-139.0333,79.68,71,4
192,Redmond,US,2021-06-07 05:30:06,47.674,-122.1215,51.87,89,97
193,Ambilobe,MG,2021-06-07 05:32:50,-13.2,49.05,79.54,63,48
194,Torbay,CA,2021-06-07 05:32:50,47.6666,-52.7314,38.57,95,90
195,Constitucion,CL,2021-06-07 05:32:50,-35.3333,-72.4167,51.6,60,100
196,Jinxi,CN,2021-06-07 05:32:51,30.4323,116.2922,90.54,40,99
197,Tazovskiy,RU,2021-06-07 05:32:51,67.4667,78.7,36.91,66,87
198,San Patricio,US,2021-06-07 05:32:51,28.017,-97.5169,82.89,91,8
199,Pisco,PE,2021-06-07 05:32:51,-13.7,-76.2167,64.45,82,90
200,Niksar,TR,2021-06-07 05:32:52,40.5917,36.9517,59.22,59,43
201,San Quintin,MX,2021-06-07 05:32:52,30.4833,-115.95,68.43,80,44
202,Chuy,UY,2021-06-07 05:32:52,-33.6971,-53.4616,50.81,80,40
203,Kathmandu,NP,2021-06-07 05:29:54,27.7167,85.3167,84.42,51,20
204,Ostersund,SE,2021-06-07 05:32:52,63.1792,14.6357,54.61,94,75
205,Grindavik,IS,2021-06-07 05:32:53,63.8424,-22.4338,46.87,93,75
206,Harper,LR,2021-06-07 05:32:53,4.375,-7.7169,78.33,85,99
207,Port Lincoln,AU,2021-06-07 05:32:53,-34.7333,135.8667,57.6,69,63
208,Bonanza,NI,2021-06-07 05:32:53,14.0289,-84.591,70.9,99,32
209,Sept-Iles,CA,2021-06-07 05:30:10,50.2001,-66.3821,47.05,86,75
210,Neustadt,DE,2021-06-07 05:32:54,49.7117,12.0872,61.32,96,90
211,Ambanja,MG,2021-06-07 05:32:54,-13.6833,48.45,76.93,66,38
212,Fare,PF,2021-06-07 05:32:54,-16.7,-151.0167,80.91,77,30
213,Malpe,IN,2021-06-07 05:32:55,13.35,74.7167,87.1,69,15
214,Carovigno,IT,2021-06-07 05:32:55,40.708,17.655,69.98,63,27
215,Nelson Bay,AU,2021-06-07 05:28:06,-32.7167,152.15,67.75,73,85
216,Saint Simons,US,2021-06-07 05:32:55,31.1352,-81.3901,80.64,92,75
217,Sumbe,AO,2021-06-07 05:32:55,-11.2061,13.8437,73.36,77,12
